                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8671,                 24.694,                 1.8663,                0.00129,                0.13199,                0.00113,                0.00061,                 2.4109,                 19.853,                 1.1239,             0.00032353,             0.00032353,             0.00032353
                      2,                   2.78,                 3.8497,                 1.1727,                0.24788,                0.37984,                0.22446,                0.08435,                  2.236,                 7.1365,                 1.0986,             0.00065036,             0.00065036,             0.00065036
                      3,                  2.444,                 2.5911,                 1.0851,                0.45671,                0.34819,                0.36561,                0.15871,                 2.0978,                 2.7101,                 1.0502,             0.00097059,             0.00097059,             0.00097059
                      4,                 2.2776,                 2.1159,                 1.0541,                0.81319,                0.52279,                0.59563,                0.25285,                 2.0054,                 1.5433,                   1.03,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.1184,                 1.7788,                 1.0061,                0.64669,                0.61625,                0.61454,                0.27445,                 1.9331,                 1.3612,                 1.0008,              0.0009703,              0.0009703,              0.0009703
                      6,                 2.1105,                 1.5923,                 1.0096,                0.84505,                0.60089,                0.72104,                0.35584,                 1.8096,                 1.2934,                0.97449,              0.0009604,              0.0009604,              0.0009604
                      7,                 2.0855,                 1.4809,                 0.9936,                0.82551,                0.72428,                0.76886,                0.37962,                 1.7788,                 1.1192,                0.96616,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.9923,                 1.4007,                  0.978,                0.86223,                0.73528,                0.81128,                0.38497,                 1.7683,                  1.112,                0.95988,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.9582,                 1.3263,                0.96242,                0.84967,                0.71653,                0.79156,                0.38645,                 1.7866,                 1.0337,                0.97739,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.9542,                 1.2533,                0.99003,                0.88953,                0.75236,                0.82712,                0.37217,                 1.8418,                 1.0162,                0.97425,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.8856,                 1.1655,                0.97407,                0.88536,                0.69832,                0.77904,                0.31228,                 1.9071,                 1.0988,                0.98413,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.9236,                 1.1923,                0.97614,                 0.8534,                0.75845,                0.81879,                0.37176,                 1.7769,                0.96416,                0.96061,               0.000901,               0.000901,               0.000901
                     13,                 1.8505,                 1.1014,                0.95104,                0.87795,                0.80436,                0.86879,                0.41776,                 1.7125,                0.91518,                0.95113,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.8368,                 1.1014,                0.94598,                0.90512,                0.78085,                  0.845,                 0.4052,                 1.6986,                0.95222,                0.95125,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.8911,                  1.123,                0.94395,                0.89244,                0.78971,                0.85385,                0.39995,                 1.7218,                0.95545,                0.94527,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.7996,                  1.075,                0.94149,                0.94958,                 0.8209,                0.89905,                0.44516,                  1.682,                0.86376,                0.94657,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.7827,                 1.0574,                  0.944,                0.92902,                0.81662,                0.88794,                0.45355,                 1.6573,                0.85858,                0.95245,              0.0008515,              0.0008515,              0.0008515
                     18,                   1.79,                 1.0117,                0.93342,                0.83969,                0.79246,                0.85393,                0.38048,                 1.7291,                0.96848,                0.94259,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.7714,                 1.0021,                0.92963,                0.82625,                0.80778,                0.83785,                0.40843,                  1.678,                0.93505,                0.93575,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.7352,                0.96513,                0.92959,                0.88911,                0.83454,                0.86544,                0.41259,                 1.7299,                0.89149,                0.95317,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.7626,                0.98385,                0.92424,                0.90379,                0.80612,                0.87352,                0.41765,                 1.7167,                0.89951,                0.94906,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.7242,                0.97279,                0.92454,                0.89583,                0.84828,                0.89557,                0.43924,                 1.6778,                0.86313,                0.94286,               0.000802,               0.000802,               0.000802
                     23,                 1.7315,                0.96371,                0.91887,                0.88531,                0.82151,                0.87925,                0.44228,                 1.6401,                0.83451,                0.93143,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.7357,                0.96561,                0.91999,                 0.9518,                 0.8229,                0.88897,                0.45619,                 1.6211,                0.86008,                0.93166,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.7183,                0.96234,                0.92011,                0.90367,                0.86928,                0.90752,                0.46746,                 1.6149,                0.80243,                0.93195,              0.0007723,              0.0007723,              0.0007723
                     26,                  1.702,                0.95263,                0.91845,                0.91375,                0.82174,                0.89138,                0.43941,                 1.6174,                0.85031,                0.92603,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.7021,                0.93103,                 0.9262,                0.95637,                0.82353,                0.91108,                0.47014,                 1.6364,                0.83799,                 0.9259,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.6988,                0.92719,                0.92203,                0.93488,                0.85741,                0.90856,                0.45844,                 1.6439,                0.82251,                0.92637,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.6971,                0.92967,                0.91676,                0.93608,                0.87085,                0.92297,                0.45664,                 1.6413,                0.79605,                0.92983,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.6561,                0.88034,                0.91655,                0.92136,                0.85993,                0.91244,                0.46304,                 1.6138,                0.80427,                0.93008,              0.0007228,              0.0007228,              0.0007228
                     31,                  1.663,                0.89277,                0.90577,                0.93945,                0.89341,                0.93367,                 0.4764,                 1.6685,                0.77702,                0.93109,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.6408,                0.89995,                0.90424,                0.92747,                0.85607,                0.90941,                0.48017,                 1.6117,                0.78213,                0.92343,               0.000703,               0.000703,               0.000703
                     33,                 1.6404,                0.87062,                0.91277,                0.91281,                0.84446,                0.90957,                0.46833,                 1.6101,                0.82246,                0.92859,              0.0006931,              0.0006931,              0.0006931
